GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
000100001001-010000011100-010010001000-010110000001-010110011110-011011100111-100101100101-100101100110-101001000110-110100010010-10011101,6.16,40,40.0
000010011010-001100110011-001100111001-010011010000-011101101010-011110100001-100110101110-101011010001-110100000100-111100111010-01101001,-0.6,17,47.06
000101001111-001001111011-010010011011-011110100101-100011110111-101001010111-101100100111-101110111101-110000111110-111001110011-11110011,-28.06,8,12.5
000111101101-001001000100-001111110011-010001000111-011001010000-011101101010-100100000111-100110100101-110010011000-111100001010-10000001,4.57,18,77.78
001101010011-001101111111-010110111111-011011111110-011101011110-011110101110-011110110011-100000101010-100111010101-110001001110-11111011,-12.46,8,37.5
000011101111-001111101000-001111110010-010110101101-011000010011-011011101110-101010100000-101101000000-111100001010-111110000000-01101110,-3.18,22,40.91
001110111010-001111011011-010011000100-010011101111-100000110111-100010100011-100100100010-101001110011-101100011110-110000110110-10010000,-5.27,20,50.0
000000111111-000011000001-000011101101-001011000001-001011110001-010101111100-101001000000-101010000000-110011101010-110110101001-01001110,29.35,33,54.55
001101101011-010100001010-010101101001-100110111010-101000001001-101010101011-110011100111-111000010111-111011100010-111100110110-00100000,-12.87,28,53.57
000100100100-001011001011-011010111111-011011010100-100010100111-101001010011-101001111001-110001111110-111001010111-111001100011-11010111,-2.34,6,50.0
000111011110-001001000000-001101001101-010100000101-010110010001-011010100011-011100011101-100011110010-110100011101-111010101000-01000110,-5.38,8,37.5
000100100000-000110010011-001001101000-001010111111-001101101001-011010100001-011100110100-100100100101-100110110000-110110010001-10001100,34.46,66,66.67
001101011001-001101100111-010110100101-011101111100-100001010111-101011011001-101101110101-110000011010-110101111011-111000100001-10110100,6.57,12,50.0
000001101111-000100010110-001100000011-100110100101-110001101110-110110110000-111001110111-111010101101-111101001000-111110111010-01111100,-37.75,11,18.18
000100000011-000110010101-010010000011-010010110110-010100101101-011010010101-011011001111-100111110001-110010000101-110011010101-00000001,-2.33,12,50.0
000001100010-001011010010-010101110000-010111111001-011101101110-101000111010-101001000001-110010011100-110100001111-111000100001-11100101,-18.43,29,62.07
000000111000-000101010011-001010001100-010100100010-011001000100-011111000101-101011100101-110111001100-111000001100-111101011011-11001110,-6.98,56,58.93
000011010001-001111010010-011101000100-100000100011-101000010100-110001101001-110011100011-110101110000-111001110010-111111110010-10111000,30.66,32,56.25
010110100000-010110101101-010111001101-011011110010-100000001001-101000101101-101011010001-110001100100-110100101010-110110001010-00110101,13.76,64,28.12
000000111100-010001110011-011010110010-100101110010-110001000011-110011101111-110100001000-110101000110-111100111111-111111001100-01101001,-5.49,11,45.45
001000111100-011110101010-100000101110-100011111100-100111010000-101010111101-101111001110-110100101010-110111001100-111011010101-11011101,9.89,13,53.85
001011100001-001100100111-011001010100-011110101010-100011001001-101000010010-110001001010-110100001111-110111011000-111110110101-11111111,7.13,22,50.0
000010111110-001000111101-001010011011-001100010000-010100000111-011110111010-101101010100-110010010110-110100100111-110111101000-11011010,34.1,17,70.59
000000101110-001010001100-010010001010-010101101010-010111100001-011001001001-011110010101-101010111000-111101101010-111110110101-00011010,-5.48,9,22.22
001101010110-010001000111-010110000111-011101001011-100010010111-101110011010-110101100001-111000100111-111101110100-111111001110-00101100,-2.07,12,33.33
001000100000-010000110000-010101011010-011101100110-100110101000-100111000100-101101101111-110001110100-111110101001-111111111011-00101111,-28.15,50,28.0
000110100000-010001100110-010011110100-010101011000-100010110001-110000100101-110100100110-111000110100-111010100011-111011010110-01101000,9.29,65,61.54
000000001011-001001001000-001100001000-001110010110-001110100010-010011010000-010011100000-010101110111-011011011011-011111101110-11111011,-9.89,18,50.0
010011101101-010011111001-010100000000-011001010110-011010101111-101000000110-101001001100-101101100111-101111101001-110001100011-11000000,1.84,12,75.0
001101000110-010110100100-011010010011-100110011110-100110100101-110010101100-110100000110-110111011001-111101000010-111111110000-11110111,-6.72,5,40.0
000101000011-001010101100-001110011101-010011010001-010100101010-010111110111-100000100101-100001001000-110000010100-111111110111-11111111,-12.91,12,41.67
001000011011-010000000101-010001110100-011001101010-101010010011-110001101101-110100010010-111001010010-111001010101-111101000100-11111101,-17.31,8,37.5
010000111001-011000001011-011010101111-011100111010-011111110001-100001110100-101000100100-101010101111-101011010011-110101101100-00010010,6.61,5,40.0
001110010111-010011110101-011010110000-100001010101-100111111010-101001111000-101011001000-110110101001-110111100100-111101111000-11110000,-11.53,11,45.45
000111100101-001110100000-001111011010-011000000101-011100100011-100101000010-110000100111-110110100101-111001010001-111010111011-11001111,-2.32,6,50.0
000011001011-001010011010-001101011010-010111110111-011100010010-100001111001-110001001111-110001110111-110101101111-111010000010-00011011,-10.42,19,10.53
000111010101-001010000000-001011111110-010000010001-010111010100-011001100000-100000110111-111110101000-111111000111-111111110111-10001011,22.58,33,63.64
000010010101-000100110111-010011100111-100001011010-100101001110-101000111110-101011001100-101101001001-110001011111-110101101111-10001110,13.95,5,80.0
000100001001-000111111011-001001011000-001011110000-010001000111-010001010000-010011001000-010101100101-011000111100-111110110110-01101100,-26.35,36,38.89
001010001001-011100011001-100000011110-100000111011-101001101111-101100000100-101100111001-110001010100-110010100010-111011101001-00100001,15.11,26,80.77
001010000010-001101100011-001111111111-011100101011-100000101011-100101100000-101000011010-110110000111-110111010111-111110101011-01110001,-9.33,11,36.36
000100101100-001000100010-001010100010-010001001000-010001111110-010100110101-011100100100-101010011110-110100101101-111011000010-01010010,-2.6,12,33.33
000010010100-001000100010-011001001101-011100010111-011110100101-011110100111-101001111001-101011011101-110010100000-110101000100-10001100,8.14,11,72.73
000110001101-000110011101-001101010010-010001010110-010010111011-011001001111-100001101010-100011011110-110010001111-111111010111-10000110,-6.93,3,33.33
000100011000-001010000110-001010100110-010111101011-100101001011-100111011101-101000110100-101001111011-110000011101-110011000010-01000000,7.53,62,65.57
001101010110-010011100111-010111100000-010111110111-011010000010-101100000001-101110101000-110000000000-110010111010-111101110000-01001010,7.62,24,52.17
001011010111-001101111110-011010010100-011011110100-011110100100-101000000010-101111001001-111010100111-111100111101-111110001110-11111001,-8.28,11,45.45
010000000111-010100110100-011001001111-011010010100-100011110101-100100011010-100110110010-101011000110-111010111000-111100101001-11001000,4.75,26,76.92
001010100110-010000001001-010010000110-010110110000-100100010101-101011001001-110000000111-110110100011-111001110110-111110011010-01011110,-0.08,18,33.33
000100010111-001010110001-010110110000-011011000111-100001111100-101101100000-110001011111-111001111000-111010010111-111100001100-00110110,8.13,8,37.5
001000000000-001000111101-001100001001-001101110011-010010110001-010110010010-011001101101-011100101011-110110000111-111101010000-11110101,18.12,33,57.58
000000111001-001001110111-001010100010-010000010011-010101000111-011000110111-100010110100-100100001011-110000101100-110010101101-10011001,1.98,36,41.67
000100011100-001000010011-010010100101-011100000000-011100111000-011101000011-101011101100-110010110100-110101001101-111001000100-11011110,-3.01,11,54.55
000000001000-000110001110-000111110000-010101100010-010111000101-100111000100-101111110001-110000111001-111101001001-111110100101-11000001,26.45,70,85.71
010111000110-011011101101-011111000011-100010111101-100101011011-101000011100-110000100100-110011010100-111011110000-111100011000-11101001,2.61,6,83.33
000000111101-000101001111-001101011100-011001000110-100111001111-101100011100-110000110000-111000010010-111011110101-111101000010-11100001,-3.0,5,60.0
001001101100-001100110000-001101000101-011001011101-011011101001-100000111111-100110110000-100111101110-100111111001-101001001000-00111111,-36.82,19,0.0
010011000101-010111101010-011011000011-011100100101-100000110101-100000111100-100001100000-101011000110-110100000000-111111101111-00111000,-8.0,13,15.38
000100000000-000101010111-001011010010-100011101110-101001000110-101111001001-110000011110-110100001011-111010010101-111011000000-01101100,25.63,61,60.66
000010000010-000100001001-001100111101-010101001001-010110011111-011000001100-100100101010-111010111001-111101000001-111110001000-11011010,-7.16,60,49.15
000001111110-001100001110-011110010011-011111101110-100000111111-100010010011-100100000101-101001110101-110111100000-111001100101-10001101,17.32,14,71.43
000000001011-000110001000-001110001111-001110010101-010011110010-100001100110-101001110100-110000011110-110011000100-111101110111-01010101,2.52,60,36.67
000010111010-000100011010-000101001101-000110111000-010000100111-010110011101-011011000001-101001010101-101101000111-110000001011-01100100,6.48,32,75.0
000001011011-000100111011-001010010010-001100101110-010000110110-010001011110-010111110001-100110001110-100111000010-110001010011-11000010,-1.49,12,83.33
001000000011-001011010110-010001011110-010100110001-010110100110-010111100000-100010011110-100010111001-101001101101-111111000101-10011011,-22.92,24,29.17
000000101100-000011100010-001010111101-001101100111-001101111110-010001001100-100011001100-100100100010-101100011000-101110101010-01001100,-5.56,18,44.44
001000111100-001101110010-010000111001-010101100011-011100101010-100000110000-110000101011-110100101101-111011101000-111100001100-00100110,10.53,13,92.31
000011001001-000101010010-001001000001-001011001110-001110101100-011010110100-100101010101-100111011101-101001010010-111001010111-01101000,-13.05,28,50.0
010010010010-010011011001-011001100001-011001101011-100110111111-101100100010-110000000110-110100011101-110111001001-111110011111-10000001,-2.55,8,62.5
000110100111-000111000010-001001010000-001111010110-011010001000-100111010110-101000011111-101001010000-101100000001-101100101111-01101111,1.79,16,62.5
000000011001-001001100101-010000001101-010010111001-011101001100-011101111110-100101010010-110100010000-110101011011-111000100101-00100111,-11.41,28,42.86
000101001110-001000100001-010101111110-010110111010-010111000110-011010110111-011111000100-100000010011-100110110001-110101001001-01111110,-19.47,21,23.81
000011111010-000111111011-010010111001-011101110111-011101111111-100000010010-101000111111-101101101101-110010101010-110110101111-11011100,-7.65,22,45.45
000011001001-010111011001-010111011010-011001011010-011101110101-011111110001-100101000000-101000011010-101101111000-111001001011-00000111,3.86,35,37.14
000010110100-000101001000-001010100011-010100111100-010111010101-010111010110-011101001000-011101011011-101010001101-101110111000-00000111,-6.54,9,22.22
000000000000-001100110111-001111011110-010101010100-011001101110-101001100010-101101001111-111000111010-111001111110-111111010101-11001100,-12.05,49,61.22
000010100010-001000101110-001100010010-001101011000-001101101011-010010111100-010110000000-010111010111-111001100001-111010100000-01011100,2.81,24,37.5
000010110110-000011001011-001110101110-010000101100-010010111010-010101010000-100101010100-101001101111-101110101110-110011110100-10110011,-2.71,7,57.14
000000110001-000001001010-000011001101-000011001101-010000100110-010111011100-100101100111-100110001010-101111100100-110010000100-01100010,4.04,31,74.19
000010011011-000010011011-000011010111-001000010100-001101100001-011000110101-011101101000-100100011100-110001011110-111001000001-10110111,-9.83,13,30.77
000010100100-001100000001-001101101101-010110011011-100001110100-101001111111-101101010100-110101000100-110111010100-111000110011-00011001,16.82,7,71.43
000011010010-100001100100-101000011101-101101001011-110010111111-110011111000-110101010010-110101111000-111101100000-111111001110-11001101,-12.97,20,50.0
001010011110-001110110101-010001010110-010100011011-011100000001-101011110011-101100001110-101100110111-101101111011-101111011110-11110011,-7.43,5,40.0
000001100000-000100100011-000110101001-001010011011-010110101001-011000101010-100111110111-101011011001-111100000110-111100100011-11001100,-23.17,69,60.87
000011110110-000111101011-001100000110-010001010001-010111111000-100101001011-100111001001-101100010010-101101010011-110010101100-10001111,-4.13,8,50.0
001001011111-010011000000-010110011110-010111011110-011101101100-011110001001-011111010001-100000111101-110001000101-111010110011-01111010,5.43,6,50.0
010001011010-010001011110-010110101100-011000110000-011101101100-011110101000-110000110010-110100010010-110111101110-111011101010-01100110,-4.61,12,58.33
000000111100-001001100010-010010001000-010100110110-100010010010-100011101101-100011110000-100100100001-110010010101-111110000000-00000100,-7.83,40,35.0
010000010000-010111111100-011001010011-011110011001-101011010101-101111010111-110000101010-110001101101-111010000010-111101101001-00001101,-1.42,17,23.53
001110011010-010100011100-011010110101-100110101100-101000000100-110001100010-110011001010-110110001000-111010011000-111011000110-00010011,-3.77,16,31.25
000011100000-000101001111-000110000111-000110101001-100100010000-100100010011-101010101000-110010100110-111000110011-111010000011-01001110,10.14,108,44.44
000010000010-001000111111-001001110000-001111101000-011100001101-101100101011-101110010111-110001101111-110111111000-111110101111-00011001,-24.97,29,17.24
000011111101-010001010001-010011011001-011110011000-011111111111-100110010101-101101111101-110011000111-110100110110-111111010100-00000111,2.83,12,50.0
000011110111-001010100011-011001111110-100001110001-100101110101-110010100100-110101001100-110101010110-110101101100-111111101001-00000101,1.67,9,44.44
000100010000-000110110111-000111101010-001000010100-010001101010-100000100011-101101101101-110011011100-111001100001-111010001000-01001011,37.83,67,61.19
000110111011-001011111110-011000100011-011001011101-100110000001-101100100011-110000001110-110011010011-111000100110-111001101110-01001111,29.72,37,48.65
000000011010-000011000100-010100110010-011001000101-011111000110-100001000101-101100101101-101110001011-101111010001-110000110111-01101011,-5.48,10,40.0
000101000100-000111111100-001001011011-010000001101-011010101010-100010111111-100011000101-110011011111-110110010110-111010010010-00001111,-5.62,4,0.0
000101110101-010001110010-011011001110-100111011011-100111101111-101000000010-110110010100-110111110000-111000110000-111100000011-00111101,7.07,14,35.71
000001011000-001011101011-001100011100-010000000001-010001011111-011001010100-011010010011-100000000010-100101110000-101011100011-11000001,3.68,87,79.31
001001111010-001100011011-010110100101-011011001000-100000111110-100100100001-101101110011-110110001011-111011000100-111011010111-00001101,9.15,23,43.48
000100001100-000110100000-001011100001-001101110000-011000110011-011010110010-100000001101-101001110011-111000010110-111001110111-01011111,-1.06,28,35.71
000000110010-001000000110-001001011001-010001000111-010001011010-101001101101-101010001110-101111101111-110011100010-111111011111-10100111,12.48,19,78.95
000001110111-000010011100-000010110101-001100100100-011101010101-100011110110-101110101010-110011101111-110100011001-111101000111-11010110,-6.51,10,40.0
001100010010-010001001010-010011010100-010101010111-011001011010-011101111101-100010011101-100010111110-101010100010-110000101000-00010100,3.28,9,33.33
000000011000-001001011110-010001110110-010110010100-011000011001-100110100000-101001010000-101101011000-110101001010-111111110010-10101000,-61.99,74,54.05
000001011111-000100010110-010001101001-010010011100-010100111101-011101001000-101010101001-111000010111-111001010110-111101000110-10100000,4.31,12,91.67
000001000110-000100111111-010001111001-010100111011-010101111111-011110000101-100111000100-110001010101-110010100110-111010001000-10011010,0.83,5,40.0
000101100000-010011101011-011011010010-011100011010-011110101111-100110001010-111001000010-111001110011-111010111001-111110011000-10110101,-37.78,58,39.66
000001000010-000010000101-000100101001-001111110011-010101000110-011001110111-011100001111-110000010100-110101100011-111110111000-10100011,-18.41,29,68.97
001010100111-001100001011-001110000110-011000111001-011001000000-011010010101-101011011110-101101000001-110011101111-111101000011-11011100,-2.95,3,33.33
000000101000-001011101001-010100110001-011011101101-011111010111-101000000000-101011001100-101111001001-101111010001-110011011111-11011101,11.78,69,46.38
000011000011-001101110011-100100101000-101010111111-101100101010-101101000000-110100010100-110100100010-110110001101-111111100001-10101100,3.25,21,57.14
000001000111-000100100011-001010101001-001110001001-010001110101-010111001111-100010000110-101010011001-101111111110-111111000110-11000001,-15.89,35,74.29
001000000001-001110101001-001111100011-011000000100-011011011100-011111010011-101110000011-101110101000-110110000000-111001100001-10111100,-21.86,26,42.31
000001001001-000010100101-000011011000-000111001001-001000011110-001010111010-011000000010-101010000100-110101011001-111001110111-10111111,-43.23,48,34.04
000000111100-000010001011-001000101001-001110000011-010011001110-010100010001-100001001010-100111110100-101011101100-110111011111-10001001,6.59,30,63.33
000111101100-001001101100-010000010110-011010001101-011011110110-100000111110-101001110111-101010111101-101010111110-101111001100-11100000,7.93,5,100.0
001101011110-010110101001-011000100010-011101101000-100010100010-100101000011-101100011110-101110000100-110001001010-111101011001-00110110,-15.71,12,25.0
010111010000-011001011011-100110010000-101001110111-101011010100-101011111110-110011000100-111001011010-111001111000-111010101011-10111110,2.21,39,46.15
000111100100-001001001000-001101011101-010010111101-010111000101-010111010000-100100011001-101100101110-101111010110-111100110000-01110110,27.4,35,54.29
000010110111-000111000010-010100010111-011000110110-011101101001-101000010000-101001010011-101011110001-101111001100-110100000110-00100111,8.42,15,60.0
000110011011-000110110000-010000000101-011000010100-100110100110-101011110110-110011101100-110100111011-110110100101-111000111101-00100001,-5.25,11,63.64
000111000010-001010101000-001100111000-001110101111-001111100101-010010111111-010011000010-011010101011-011101000111-110000011101-00111011,5.62,11,27.27
000110111001-000111010011-011010001000-100100011100-110010001110-110011001100-110101110000-111101100001-111111100101-111111110100-11110110,29.96,35,68.57
000010101100-001011100001-010100000010-011000100110-011011000010-011110010100-100100001011-101000000001-110000000010-111011100110-11001101,16.19,26,57.69
010000000111-010110111111-011001001101-011110000111-100011101110-110011000111-110110110011-111010111100-111100011000-111110000100-10011001,-20.23,7,14.29
000101110001-001101010111-011111100100-101100111100-110000000000-110010011101-110101111110-111100110111-111101011000-111101110000-11111010,-21.46,19,47.37
000101100100-000101101000-001100100010-010010111110-010110011100-011011000010-011111100000-100001101111-100101010101-101000111011-11100101,5.9,7,85.71
000111000111-000111110110-001111110100-010110111111-100010101110-100110001001-101000010100-101101001111-110011011011-111101001010-10110100,-6.03,27,48.15
000101010100-000110010111-001000011100-001100010000-001100100011-001101010100-001110100101-100001100011-100101111101-110011100001-01011101,-11.9,23,30.43
000000000001-000000010010-001010111110-001101111111-001110011011-011001110110-011010101000-011110010001-100000111101-111110000100-11111101,-8.82,36,50.0
000010001100-001010010100-001010110101-010111010010-011111011000-100000011011-100101010000-110101001001-110101101011-111100010100-01110011,-15.05,20,35.0
001101001000-001101111010-010101011110-011001010100-100000001100-100110101100-101001111101-110000100110-110000110110-110101111111-01101000,15.97,22,68.18
000000110011-001000001110-001001101011-001100010110-011111011111-100001010010-110110100100-110110110010-111010101010-111110011010-00111010,7.63,6,33.33
000011000111-000101010001-000111000000-001001010101-001101000011-010010110011-010101100000-100000110100-110000111000-111110010011-11011011,-18.0,8,25.0
000000011101-000100111110-000111101110-010000101111-010100101001-011001000100-101001111110-101100100011-111000011010-111111110110-10010110,-11.99,9,22.22
001011000100-010100001110-010101110011-011010100000-100000101010-100010100010-101000100010-101111001011-110110111110-111011100011-01000000,1.49,16,68.75
000000100010-000111101100-001010101000-011011001101-100110100100-101000110001-101011001001-101101101011-101101111101-111010010100-01100000,13.47,32,75.0
001101100101-010011110101-010101010011-100000011110-100000101000-100101000010-100101101010-101111001110-111000010110-111001100110-10101000,-30.02,26,50.0
000110000011-001000010101-001010010001-001100100101-011110110000-011111111011-100001001100-110100101100-110101110011-111001100101-01000100,-2.9,15,66.67
000000100101-001101111111-010111010001-011100100011-011111001101-100110000010-101110001101-110001111000-110100111101-111011111000-00001011,1.19,20,20.0
000000111011-000111111000-001001100000-001010011010-001101010000-001101101011-010101110010-011011100000-110001011000-110011110110-10110111,-20.97,14,28.57
000000011101-000111111010-001110110000-010100001000-010100001101-010110010111-011000100011-011001000001-110110101000-111111000001-01110101,-4.6,24,33.33
000101101001-001001010001-001101000110-001101111001-010100101000-011000111110-011011100001-011011101100-100110001100-110001001101-01111110,23.71,32,43.75
000010111000-001010001001-001011001101-001110000011-010001000010-011011100001-100101010111-100101110011-101110000010-111100110111-00100101,23.04,78,57.69
000010101010-000011101101-010000010001-100000101100-100011111110-101001001011-101100111000-110100111000-111000101100-111111100001-10110010,17.26,14,71.43
010011011111-011000111101-100101100011-100101110010-101001001000-101010010111-110101001010-111100000011-111101100011-111110111001-10101111,-12.45,12,41.67
000100101101-000100110101-001011110111-001100110110-010101101101-101000000011-101001000111-101100010001-101110001111-111011100001-00110000,20.72,22,54.55
000001110100-000011101111-001111001010-001111101111-010010010101-011000100001-011000101110-100011110110-101101110111-110100010100-11101110,1.93,7,71.43
000110101100-001000111010-001101111110-011000000010-011101100001-100010011101-100011110001-101101110110-110010111000-111000000111-11000011,2.63,16,93.75
010010001010-010110010111-100101010010-100110010010-101011000011-110000110000-110001100011-110100001110-111101110010-111111110110-10110100,-10.37,20,45.0
000111111100-010011110100-011010011010-011101000010-101010011011-101110110100-110100111110-111000010000-111001100000-111100011100-00010101,8.83,14,35.71
000000111000-000101000111-000110000010-000110000010-100011101100-101100000011-101110011010-101111001010-110001001110-110100011001-11010000,-13.26,59,59.32
000000000011-000110100101-001001111111-001110110000-011011000111-100000100011-100010011111-100111100001-110000101001-110100001010-00101110,15.94,24,37.5
000101100000-001111100011-010011000011-010101001011-010111001000-011010011011-100010110101-100011010101-101011110101-101100111100-00100101,-19.25,61,47.54
000001010001-000100010011-000101100100-001010011010-010001010001-110101101110-111000111000-111101000110-111110001110-111110010111-01110111,-0.82,32,40.62
000110000100-001000101100-001000111100-001001100100-001011001111-010000011001-011010100011-011011110000-100111111100-110001001010-11001011,-0.3,6,66.67
000001000101-000010001110-001010101011-001100000111-010010011001-010111011111-101110000010-110001110100-111100100001-111110000110-00110001,2.32,10,50.0
000100011010-000101000101-001011110010-010000001110-100010110111-100100001000-100100011101-100110011100-101010010010-111010111110-10100011,-16.41,59,76.27
000101111111-001000010111-001011001011-001111010011-011101110110-101011001110-110100001110-110110100000-111101111100-111110101000-01100010,1.25,10,90.0
000100000010-000100101000-001001010100-010111101111-011111010010-110000100010-110101011110-110111111010-111010100101-111111000011-10001001,-23.08,21,38.1
001001001000-001100101011-011010101000-100100100010-101100110110-101101010010-110000100101-110110000111-110111010111-111010011001-10011011,-19.64,36,41.67
001000011000-001101000010-010000010010-010011101000-010110011110-010111100101-100100101001-100111001111-101111000100-101111111001-10100001,8.32,45,84.44
001101101100-001111111001-010000001010-010110011101-010110101010-011011010010-011100110001-110010011000-110010011011-110011011110-10001110,1.98,15,46.67
000000010101-000110100101-001011110110-001110111110-010001101010-010011101000-011001110101-011001110111-100001011100-100110001110-10011100,-4.88,2,0.0
000100100011-001100011100-001100101010-001110101110-010011110000-010101100111-011010010011-100100110110-100101111100-110100011010-00111101,-13.97,13,23.08
010101100111-011000011111-011001010011-011001101110-011011101111-100100100100-101000001110-101100010010-110110101001-111101001110-11010101,7.64,5,60.0
000001010000-001101100111-001110111111-010001111001-010110010010-011001010101-011110011111-101001100110-101110000010-110101001011-01011001,12.97,56,33.93
000001000011-000101101001-000110000000-000110100000-001110111100-011111100101-100000001001-100010000101-100101100000-101110110100-10100100,5.88,104,73.08
000011101010-010000111010-010011101100-010111011000-011010011110-100001111101-100011000110-110000100101-110001001010-111010001010-00111101,-5.37,12,25.0
000000110100-000001011101-001110011110-010001000000-010001101010-011001000111-101010001001-110001111111-110101001001-111101001000-00111111,-7.65,20,15.0
000011101010-000110101011-001010010011-010010100110-100001000010-100001000101-100001110100-101011000001-101111100011-111101010100-00110010,23.4,19,47.37
010101010111-010110010100-010111011111-100000101000-100011111101-101001000000-110110011101-111000100000-111000110001-111001011111-00111001,15.13,30,33.33
000101001000-001000001100-001100000110-011100110011-100010111000-100010111010-100101011000-101000001001-110011010100-110110000001-10111001,17.76,79,48.1
000111010110-011010100101-100010011110-100011010000-100100001110-100100100101-100110111000-101001000001-110010010011-110101010011-11111010,14.55,17,58.82
000010001011-000010100011-000110110001-001001110001-001011101010-100110100010-101001100001-101011101001-111100110011-111111000011-00110110,16.88,29,37.93
010111001000-011110001101-011111010001-100001110000-100111110001-101001100101-101101011011-110000001010-110111011100-111110010100-00011111,6.4,20,25.0
000110100100-000110101100-001010001001-001101101000-010010000110-100010010011-100011101100-101001011001-110000110000-111001001011-11110001,-10.82,24,58.33
000000010100-000001010000-000100101000-001001110100-010011010010-100000101100-100010110001-101111010010-110001000100-111001100101-00000101,-18.66,26,26.92
000001011111-000001100000-000010001001-001000000011-001001101010-001011000001-011110101101-110001010001-110111111010-111000000000-01001101,22.02,63,55.56
000100001001-000110100011-001101101011-010010010010-100010110111-101011110001-101110101101-110011101111-110111000110-111011000110-01001000,-43.31,42,26.19
000010000100-010101000110-100011000101-100110011101-101001110010-110001000111-110011111111-110111000111-111100000001-111111011000-00000101,-5.48,7,28.57
000100000100-001001101101-001011100101-001110011101-011101001110-011110101000-100111111100-101000110101-110000111001-110001000001-00010100,-11.31,6,33.33
010101110110-011000101001-100000010101-100001001111-100011101100-100110001111-101100001010-110001010101-110001101000-111111101001-01100000,0.29,13,76.92
000000111000-000010100001-001001000111-100001011110-101011000000-110001101111-111001111010-111011100010-111101110100-111110110001-11110111,-25.24,68,52.94
000001010001-000001100010-000001111010-001100111111-100110110000-100111111100-101101101010-110010011000-110101001101-111110100011-00000010,-5.16,37,45.95
000010101011-000101100101-001111000000-010100101101-011110010000-100010000101-100101010001-100111100001-111000100011-111100101000-11111011,-36.39,21,42.86
000010000010-000010000011-000110000110-001001000001-001111000100-010011100101-011101111100-100000001010-101110011100-111010010111-01010111,32.07,48,50.0
000001111110-000101000011-001111000001-010000110001-010101010100-101011011000-101111001001-110010010011-111000100010-111101011010-01010100,10.07,8,62.5
000011100100-001101101100-010100001001-100000011001-100100011010-101010011100-110000001010-110111011110-111000011100-111111010010-11011010,9.02,55,49.09
000001111010-001010010101-001111110011-001111111101-010010000010-010101000010-010110111100-011101010000-101000101011-110001111011-01000100,-16.24,14,42.86
000000110011-000010111110-010001010110-010011011000-011001000110-101010101110-110010011100-110110011110-110110101010-111011011110-11110011,-12.98,4,25.0
001110110101-010111010101-011000011100-100001001000-100111100011-101101111111-101111000001-110001000010-111110010011-111111010111-01101011,-8.88,9,33.33
000001001000-000001010001-000101000110-001000111100-010010000101-011100000011-100011000000-101001001000-110000001111-111010000001-11110000,-38.8,58,53.45
000000001010-001001010010-001101100011-011000101000-011101110100-011111100010-100111110111-110001101011-110100100011-110111001001-11111010,10.22,11,63.64
000100001110-001110001000-010010011110-010100010000-011110000011-011110111111-100010110100-110110000001-110110000101-111110010111-01100000,-4.69,15,73.33
000010010101-001010000010-001110010001-100001011100-100110101011-110011110011-110110001100-110111100101-111110001011-111110111011-11111100,-27.99,20,35.0
000000001010-000000011010-000010010000-001011111010-010001011010-011001110001-100100010011-110001110100-110101100101-111000011101-01001110,2.66,63,47.62
000000000101-001001110000-001101110101-001101111111-010101110111-010101111010-100110010101-101011111010-110011110011-110111110110-01111110,13.62,4,50.0
000101010010-000101101100-001111010010-010011100001-010011111011-011001010010-100001100111-100101000100-100101010010-111100100000-00000100,-4.54,13,30.77
010111000011-011100000011-100100110101-100111110111-101000000110-101010010101-101110101000-110011000111-111000010100-111010101000-10110100,2.87,7,57.14
000011000000-001000011101-001001100001-001010000010-010011010100-010111100110-110100100010-110101110110-111010010000-111110011000-01010101,51.54,66,45.45
001001000001-001100100010-001110010001-010001011110-010111111011-100011011011-100011111011-100110001011-110001001011-110100100100-01010110,-6.05,27,33.33
000010101001-001001001010-010010101101-010011101000-010100000011-010100001110-010100101000-010101010101-101100001000-101100011010-00010000,1.71,42,26.19
000100110000-100010100111-100100110100-100100110100-100110001011-101001100111-110100110101-111011010001-111101011111-111111001011-10100111,19.22,63,74.6
001000100101-010111110001-011010111010-100101000100-101001011011-101100101111-101101101011-101111101010-110101000001-111111011111-11000101,-1.56,11,63.64
000000010100-000011100000-000100101111-001001011010-001001100100-011000101111-100010101000-101001001110-110101001000-111000110111-10110010,20.2,31,61.29
000001011111-000100011010-001000111111-001001000101-001011111100-010000010000-011010000100-111000110111-111010011001-111101011100-00110000,-14.04,27,25.93
000111110111-001001111010-001011011110-011010000101-100110001111-100110101010-101001111000-110101110101-111110100101-111111110010-00101000,-6.25,17,41.18
000101100111-000101101100-010110101100-011000001011-011100110011-100110000111-101001100000-101010110011-101101000111-110111111010-10001010,6.9,7,83.33
000100010100-001100000100-001101101111-010001101101-011010100011-101001011111-101100011101-101101000001-110010000000-110100011110-11011100,-11.93,8,25.0
000000000001-001110010100-001111100111-001111100111-011010011110-100000010111-101101011100-101110101000-110011100000-110111101101-01101000,8.8,29,65.52
000000111100-000001010110-001111001111-011111011000-101010101100-101101000111-110100010101-111000000011-111100101010-111101010100-11101110,0.08,2,50.0
000011010011-000011111110-000101011010-001111000101-001111111100-011100011011-100101011110-100110010001-110000100010-110011011100-10000010,3.65,47,76.6
000010001011-001111011010-010011101110-010110010100-100101001000-101100000110-101111000000-101111100000-110011110001-110110011011-00100010,12.4,17,76.47
