GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
000000110000-000011000010-000110100101-001110000001-011110101001-101001011101-110011000100-110101111100-111001010011-111001100000-00011100,-18.74,65,13.85
000101100100-000111100110-000111101101-001011011001-010100100111-011011000101-100010001000-100011001110-101100101111-110000111100-10111010,14.77,50,46.0
011010001111-100001100101-100011110111-110000000011-110000110111-110010000110-110110001111-111000001000-111000111011-111101110110-01001011,3.0,5,60.0
000011011100-010000001010-010000110010-010001100010-011111001000-100011010011-100100110101-101001111100-101010110101-101011001110-10001001,-13.11,7,42.86
000111110110-001010010100-010000000110-010011100111-011010101110-100111000110-101011011111-110011011110-110100110110-111001011010-10101010,4.46,6,66.67
000000101011-000100110001-010001100111-010001111011-011100000111-011101111001-011111011000-100001110001-111011001011-111100110010-10111010,28.56,12,75.0
010110000101-010111101010-011010011010-011101101000-011111000101-011111011111-100000100011-100010010101-101001111100-111100110000-11110111,5.9,13,61.54
000001011110-000110001000-000110111000-001000010111-010101111000-011010001110-100010110011-100111011111-101001001010-110000010111-00111011,39.65,64,35.94
001001011011-001101011101-001110001010-011001110101-100001111111-101111110010-110010001101-110110111110-110111100000-111110100010-10110001,-48.97,16,31.25
000111101000-001001110001-010000000011-010000011001-010111111011-011010011101-011011011110-011101000001-100110001011-101001110111-00101110,-18.79,67,34.33
000101011010-000110000101-011001000000-011001010101-011001100111-100101000111-101000000000-110011011100-110101110100-111100101101-00000100,4.72,37,37.84
000000000101-001011111110-001101010000-101001000000-101001111000-110000010111-110100011010-110101010110-110101011100-110111001100-00001100,-10.1,9,11.11
001001000100-001001000101-001011011011-010000111100-011001100011-100010100111-101110111000-110011111110-110101110111-111000011101-11110000,13.22,7,57.14
001110010110-010101100101-010111100010-011001001100-100010110000-100011110110-100110000101-111001000011-111101010001-111110101111-11010100,6.03,19,52.63
000001011011-000001011100-000110001100-001110000110-010011111010-011001000000-100001011011-100011010010-101000010110-111011110100-11110001,-1.93,10,60.0
000110010011-001001000001-001100011111-001100100010-100000111110-100110001011-110010101101-111000100100-111010111000-111101000010-00100100,3.38,11,72.73
000010100111-001110001000-100101000100-100101111011-101001110100-101011101000-101100001011-101110010000-110001110110-111101110000-01010000,-9.86,27,29.63
000100111100-000111110110-001011000110-011010101111-100011100111-101101001100-101101011100-110011011111-110011101100-111010100101-10011011,-0.32,3,33.33
000111011111-001010101101-001010111010-011000001011-011101111011-100111001001-101001011111-101011110001-110001011000-110010111110-00011101,-3.53,11,9.09
000101111111-001100100001-010101110011-100001001010-101001011000-101101101000-101111111101-110000010101-110011110001-111111011111-00100010,-4.96,14,50.0
010001110100-010111000110-011000101011-011111100111-100101110111-100111111100-101101110010-101111010101-110110111011-111101110000-11000101,-1.21,2,50.0
000011010010-001111101000-010011110011-010100110110-010111100010-011111010000-100100000011-101011001001-101101000100-111000000101-10000101,-13.15,34,64.71
010101010010-010101111001-010110010110-100010010010-100011011111-101001011101-101010001011-111100010111-111110011111-111111000111-01011101,31.46,28,42.86
000000010010-000001110011-001001001001-001010000110-010100101011-101000001000-101100010101-110011000000-110101010111-110111011111-00011000,6.39,47,21.28
000100011100-000101001010-000101101000-001001000001-001111000111-010010111101-011101110010-100000010111-110000100100-110110000110-10110010,1.94,8,50.0
000101101100-000110101111-010010000010-011000111010-100111010111-110011111000-110100000111-110100101111-110101101100-111101011011-10101010,4.59,13,61.54
000100111011-011001011001-100000011111-101001100100-101001100111-110010010001-110010110010-110101110101-111001000010-111111011101-00001100,1.8,14,28.57
000011001101-001001111000-001101101101-010110010111-011000010111-011000011111-100010000010-101100000011-101100110010-110000110111-01111001,20.76,26,38.46
000101110101-001000110011-001101110110-011001100100-011101100100-011110101100-100001111001-101000110110-101000111011-101100011111-00110101,-2.12,10,20.0
000001001111-000001110101-001000100000-010100011100-011100000100-011100101001-100111100101-101001001100-101010100001-101111110111-10011100,-36.42,21,14.29
000001111101-001001010000-001111110001-011001001001-100000011000-101001000100-101111010011-110010011110-110011110000-111010000001-11010001,5.72,51,60.78
000010000001-001101010111-001101111100-001111000101-001111111110-010000111100-010110001111-011001011010-101101001000-110101110011-10111010,-15.39,26,42.31
000011000010-000101110111-010100001001-100101111100-101011011011-110000011001-111000100000-111001001011-111001101100-111101001111-00011110,-17.32,24,20.83
000000111100-000010011101-000111001001-000111010000-000111110011-001110111001-011100101011-110001101001-110011100001-110110110101-11000000,-4.59,18,77.78
000001111001-001011010011-001111101000-010001110100-010100000100-011001011001-100111000101-110011010101-111010111100-111110100101-01100010,-3.51,28,71.43
000111011100-000111101010-000111110100-001101101100-001110001010-010101001110-010101111011-011000000100-011100100110-101000111101-00111010,-0.87,7,28.57
001100010001-001101111011-010101110000-011100001111-011111111011-101101110000-110001000001-110110000000-111011101000-111011111101-11011000,-0.07,11,45.45
001100010110-010111010011-011011101001-011100010100-100110001011-101000000111-101011101000-110010111100-111100100101-111100110100-10010001,-12.19,8,37.5
000010111110-000101011101-001011101100-001110100010-100011001010-101001000100-101010001101-101100011100-110000101001-110101110011-10010000,-17.77,15,33.33
000000101000-000010010110-010011111111-011111101011-100101001011-100110000100-101011111101-101101100110-110000111001-110001010101-00111001,29.92,61,31.15
001110111000-010010000110-010011000010-010111110001-011111010001-011111011011-110000101100-111000110111-111101011111-111111100001-10000101,-1.93,17,64.71
000100101010-001001100101-001100011101-010000010010-011011001011-100010010001-100011110100-100100101011-101010011101-110010101101-11001001,27.42,49,67.35
000010001010-010000100100-010101010010-100010000100-101001110001-101011011001-110111010100-111010000011-111100011000-111110001111-10010101,15.96,16,62.5
001011001100-100100110011-100101101100-100110011111-110000010111-110001100011-111000001000-111001101100-111011100000-111110110000-00101010,-1.27,6,33.33
000100000101-001001010101-010011101110-010110100100-011010011011-011110100010-100000011011-100000111101-100101010000-101000000100-10110011,-23.2,21,38.1
000110011000-010010011110-011110101101-100110000000-100110011111-100111001110-101111111000-110010110111-110011110011-111011001010-10000110,-2.46,84,64.29
000010000000-000010101110-000101000100-000110001000-011011100101-011100000011-011111100001-101011111011-110000111101-111010100110-10011011,8.22,73,47.95
000110101101-010010000010-010101001000-011001000010-011001011010-011011110010-101010001101-101110011001-110010000110-110101010100-01101000,-6.4,12,50.0
000111000100-001100011011-001110101000-010101011000-011010011011-011101110100-011110100110-011110111011-100001110010-101100110100-10110100,4.53,7,57.14
000010011100-001111100011-010111001001-100100111110-100110001111-101011001111-110010000100-110111010101-111101001111-111101110111-00100010,10.88,10,70.0
000000011011-001111001010-010100100110-011010010011-011010101010-011101100101-011110000111-110011110100-110100010000-110110110010-01100011,-3.92,10,60.0
001010001010-001110111111-001111010101-001111101000-010110000001-100001010001-100010000011-101100010110-110011100011-110011100011-10100110,-14.55,20,60.0
000100010111-010010111000-011011010111-101000100001-101101001111-101110110110-110110000100-110110010111-111001100110-111010001111-00011100,6.8,7,42.86
001001010101-001111010111-010010011001-010101101100-011010011010-100010000001-100100100000-101001001001-110001100010-111110101100-10000101,-20.85,58,62.07
000100110000-010000111111-010100101011-011011000000-011100111110-100010011111-101000010000-101001011011-101101011101-101110011100-10011000,21.18,56,48.21
001000001100-010001011011-011001111000-011110011010-100000100011-100101111010-101110101101-101110110111-110010010111-111101110001-10111110,9.54,15,46.67
000001101001-000110001111-001001011011-001011010001-001011010011-100101101000-100111010101-101110001101-111000010100-111111010101-01110010,7.43,27,48.15
000000110101-000110110010-001010000011-001110101010-010000011101-010010111000-101001111111-101110010000-110000101101-111100011000-01010000,-4.11,25,40.0
000000100100-000010010100-000110000010-001111111111-010101100010-011000011110-100111000111-101000100011-110100101010-110101101011-00111111,-5.53,17,17.65
